GEOID10,exposed_0.5buffer,exposed_1buffer,exposed_10buffer,exposed_20buffer
06083002103,0,0,0,0
06083002402,0,0,0,0
06083002102,0,0,0,0
06083002010,0,0,0,0
06083002009,0,0,0,0
06083002008,0,0,0,0
06083002007,0,0,0,0
06083990000,0,0,0,0
06083980100,0,0,0,0
06083980000,0,0,0,0
06083001704,0,0,0,0
06083002915,0,0,0,0
06083002606,0,0,0,0
06083003102,0,0,0,0
06083003007,0,0,0,0
06083002932,0,0,0,0
06083002930,0,0,0,0
06083002928,0,0,0,0
06083002926,0,0,0,0
06083002924,0,0,0,0
06083002922,0,0,0,0
06083002502,0,0,0,0
06083001706,0,0,0,0
06083001604,0,0,0,0
06083001402,0,0,0,0
06083001306,0,0,0,0
06083001304,0,0,0,0
06083001208,0,0,0,0
06083001206,0,0,0,0
06083000804,0,0,0,0
06083000302,0,0,0,0
06083000301,0,0,0,0
06083002006,0,0,0,0
06083002005,0,0,0,0
06083002012,0,0,0,0
06083001203,0,0,0,0
06083001102,0,0,0,0
06083001000,0,0,0,0
06083000900,0,0,0,0
06083000801,0,0,0,0
06083000600,0,0,0,0
06083000400,0,0,0,0
06083003005,0,0,0,0
06083003004,0,0,0,0
06083003001,0,0,0,0
06083002914,0,0,0,0
06083002913,0,0,0,0
06083002909,0,0,0,0
06083002907,0,0,0,0
06083002906,0,0,0,0
06083001500,0,0,0,0
06083000700,0,0,0,0
06083000502,0,0,0,0
06083000501,0,0,0,0
06083000200,0,0,0,0
06083000103,0,0,0,0
06083000102,0,0,0,0
06083000101,0,0,0,0
06083002708,0,0,0,0
06083002707,0,0,0,0
06083002706,0,0,0,0
06083002705,0,0,0,0
06083001101,0,0,0,0
06083002702,0,0,0,0
06083002809,0,0,0,0
06083002808,0,0,0,0
06083002806,0,0,0,0
06083002802,0,0,0,0
06083002703,0,0,0,0
06083001800,0,0,0,0
06083002604,0,0,0,0
06083001601,0,0,0,0
06083002011,0,0,0,0
06083002013,0,0,0,0
06083002305,0,0,0,0
06083002306,0,0,0,0
06083001906,0,0,0,0
06083001905,0,0,0,0
06083001903,0,0,0,0
06083001901,0,0,0,0
06083002101,0,0,0,0
06083002404,0,0,0,0
06083002403,0,0,0,0
06083002304,0,0,0,0
06083002303,0,0,0,0
06083002209,0,0,0,0
06083002211,0,0,0,0
06083002206,0,0,0,0
06083002205,0,0,0,0
06083002210,0,0,0,0
06025011802,0,0,0,0
06025011700,0,0,0,0
06025011600,0,0,0,0
06025011500,0,0,0,0
06025011400,0,0,0,0
06025011803,0,0,0,0
06025010500,0,0,0,0
06025010400,0,0,0,0
06025010300,0,0,0,0
06025012001,0,0,0,0
06025010101,0,0,0,0
06025012002,0,0,0,0
06025010102,0,0,0,0
06025010200,0,0,0,0
06025940000,0,0,0,0
06025012302,0,0,0,0
06025012301,0,0,0,0
06025011000,0,0,0,0
06025010900,0,0,0,0
06025011801,0,0,0,0
06025011300,0,0,0,0
06025011202,0,0,0,0
06025011201,0,0,0,0
06025011100,0,0,0,0
06025012400,0,0,0,0
06025012200,0,0,0,0
06025012100,0,0,0,0
06025011900,0,0,0,0
06025010800,0,0,0,0
06025010700,0,0,0,0
06025010600,0,0,0,0
06059062640,0,0,0,0
06059062641,0,0,0,0
06059062642,0,0,0,0
06059062643,0,0,0,0
06059062644,0,0,0,0
06059062645,0,0,0,0
06059062646,0,0,0,0
06059062647,0,0,0,0
06059099251,0,0,0,0
06059099305,0,0,0,0
06059099306,0,0,0,0
06059099307,0,0,0,0
06059099308,0,0,0,0
06059076208,0,0,0,0
06059011601,0,0,0,0
06059011602,0,0,0,0
06059011200,0,0,0,0
06059086602,0,0,0,0
06059001103,0,0,0,0
06059089104,0,0,0,0
06059086902,0,0,0,0
06059110402,0,0,0,0
06059088602,0,0,0,0
06059011722,0,0,0,0
06059032038,0,0,0,0
06059032039,0,0,0,0
06059032040,0,0,0,0
06059032041,0,0,0,0
06059032042,0,0,0,0
06059032043,0,0,0,0
06059032044,0,0,0,0
06059032045,0,0,0,0
06059032046,0,0,0,0
06059042106,0,0,0,0
06059042107,0,0,0,0
06059042108,0,0,0,0
06059042109,0,0,0,0
06059042111,0,0,0,0
06059042112,0,0,0,0
06059042113,0,0,0,0
06059062701,0,0,0,0
06059062702,0,0,0,0
06059062800,0,0,0,0
06059062900,0,0,0,0
06059063004,0,0,0,0
06059063005,0,0,0,0
06059063006,0,0,0,0
06059063007,0,0,0,0
06059063008,0,0,0,0
06059063009,0,0,0,0
06059099309,0,0,0,0
06059099310,0,0,0,0
06059099311,0,0,0,0
06059099402,0,0,0,0
06059099404,0,0,0,0
06059086601,0,0,0,0
06059076205,0,0,0,0
06059075812,0,0,0,0
06059011503,0,0,0,0
06059011402,0,0,0,0
