zcta,exposed_0.5buffer,exposed_1buffer,exposed_10buffer,exposed_20buffer
86404,0,0,0,0
89019,0,0,0,0
90005,0,0,1,1
90027,0,0,1,1
90039,0,0,1,1
90040,0,0,0,1
90056,0,0,1,1
90278,0,0,0,1
90650,0,0,0,0
90815,0,0,0,0
91301,0,1,1,1
91352,0,0,1,1
91423,0,0,1,1
91708,0,0,0,0
91731,0,0,1,1
91739,0,0,0,0
91754,0,0,0,1
91791,0,0,0,1
91913,0,0,0,0
92008,0,0,0,0
92126,0,0,0,0
92257,0,0,0,0
92322,0,0,0,0
92501,0,0,0,0
92505,0,0,0,0
92630,0,0,0,0
92656,0,0,0,0
92692,0,0,0,0
92802,0,0,0,0
92886,0,0,0,0
93110,0,0,0,0
93442,0,0,0,0
93532,0,0,0,0
90001,0,0,0,1
90002,0,0,0,1
90058,0,0,0,1
90068,1,1,1,1
90242,0,0,0,0
90248,0,0,0,0
90262,0,0,0,0
90605,0,0,0,0
90807,0,0,0,0
91001,1,1,1,1
91030,0,0,1,1
91311,0,0,1,1
91320,0,0,0,1
91384,0,0,0,1
91505,0,0,1,1
91711,0,0,0,0
91765,0,0,0,0
91905,0,0,0,0
92036,0,0,0,0
92061,0,0,0,0
92124,0,0,0,0
92211,0,0,0,0
92270,0,0,0,0
92315,0,0,0,0
92337,0,0,0,0
92372,0,0,0,0
92561,0,0,0,0
92620,0,0,0,0
92805,0,0,0,0
92832,0,0,0,0
93109,0,0,0,0
93224,0,0,0,0
93251,0,0,0,0
93263,0,0,0,0
93424,0,0,0,0
93445,0,0,0,0
93452,0,0,0,0
93454,0,0,0,0
90007,0,0,1,1
90016,0,0,1,1
90064,0,0,1,1
90077,0,0,1,1
90210,0,1,1,1
90501,0,0,0,0
90631,0,0,0,0
90802,0,0,0,0
91007,0,0,1,1
91040,0,0,0,1
91302,1,1,1,1
91354,0,0,0,1
91360,0,0,0,1
90012,0,0,1,1
90045,0,0,0,1
90047,0,0,0,1
90063,0,0,0,1
90066,0,0,1,1
90220,0,0,0,0
90232,0,0,1,1
90602,0,0,0,1
90630,0,0,0,0
90806,0,0,0,0
91206,0,0,1,1
91331,0,0,1,1
91702,0,0,1,1
91730,0,0,0,0
91901,0,0,0,0
92010,0,0,0,0
92066,0,0,0,0
92230,0,0,0,0
92256,0,0,0,0
92273,0,0,0,0
92321,0,0,0,0
92368,0,0,0,0
92543,0,0,0,0
92549,0,0,0,0
92646,0,0,0,0
91604,1,1,1,1
91709,0,0,0,0
91723,0,0,0,1
91732,0,0,1,1
91745,0,0,0,1
91789,0,0,0,1
92014,0,0,0,0
92059,0,0,0,0
92067,0,0,0,0
92115,0,0,0,0
92131,0,0,0,0
92262,0,0,0,0
92301,0,0,0,0
92356,0,0,0,0
92399,0,0,0,0
92591,0,0,0,0
92627,0,0,0,0
92706,0,0,0,0
92870,0,0,0,0
93022,0,0,0,1
93066,0,0,1,1
93222,0,0,0,0
92651,0,0,0,0
92657,0,0,0,0
92672,0,0,0,0
92683,0,0,0,0
93015,0,0,0,0
93023,0,0,0,1
93203,0,0,0,0
93243,0,0,0,0
93420,0,0,0,0
93429,0,0,0,0
93465,0,0,0,0
93535,0,0,0,0
93536,0,0,0,0
93314,0,0,0,0
93460,0,0,0,0
93461,0,0,0,0
93527,0,0,0,0
93555,0,0,0,0
90019,0,0,1,1
90022,0,0,0,1
90023,0,0,0,1
90025,0,0,1,1
90044,0,0,0,1
90222,0,0,0,0
90280,0,0,0,1
90601,0,0,0,1
90723,0,0,0,0
91105,0,0,1,1
91202,0,0,1,1
91361,0,0,1,1
91740,0,0,0,1
91746,0,0,0,1
91911,0,0,0,0
92004,0,0,0,0
